Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,725,Lasalle (-4.5),64,Pennsylvania (+4.5),80,Final Lines Recap Box
NCAAB,727,Cornell (+24.5),49,Pittsburgh (-24.5),93,Final Lines Recap Box
NCAAB,729,Yale (+14.5),61,Duke (-14.5),80,Final Preview Lines Recap Box (O/U 149)
NCAAB,731,Arkansas St (+22.5),68,Oregon (-22.5),91,Final Preview Lines Recap Box (O/U 149.5)
NCAAB,733,Georgia St (+6.5),59,Mississippi (-6.5),68,Final Lines Recap Box (O/U 142)
NCAAB,735,Air Force (+15),70,Colorado (-15),81,Final Lines Recap Box (O/U 138.5)
NCAAB,737,Northridge St (+6),80,Loyola Marymnt (-6),82,Final OT Lines Recap Box
NCAAB,739,Santa Barbara (+1.5),68,San Francisco (-1.5),61,Final Lines Recap Box
NCAAB,741,Wisc Milwaukee (-1),84,Central Mich (+1),78,Final Lines Recap Box
NCAAB,743,Duquesne (-2.5),81,Western Kentucky (+2.5),73,Final Lines Recap Box
NCAAB,746,Pepperdine (-10),53,Drake (+10),69,Final Lines Recap Box
NCAAB,748,Murray St (+1.5),59,Weber St (-1.5),75,Final Lines Recap Box
NCAAB,750,Gonzaga (-9.5),80,Washington (+9.5),64,Final Preview Lines Recap Box (O/U 169)
NCAAB,751,Nc Charlotte (+14),70,Syracuse (-14),83,Final Lines Recap Box (O/U 139)
NCAAB,753,Texas A&M (-4),84,Texas (+4),73,Final Preview Lines Recap Box (O/U 143)
NCAAB,755,Michigan (+4.5),60,Connecticut (-4.5),74,Final Preview Lines Recap Box (O/U 138.5)
NCAAB,758,Rider (-11.5),67,Houston Baptist (+11.5),56,Final Lines Recap Box
NCAAB,759,Cleveland St (+10.5),66,South Dakota St (-10.5),77,Final Lines Recap Box
NCAAB,761,St Johns (-11.5),100,Chaminade (+11.5),93,Final Lines Recap Box (O/U 167)
NCAAB,764,Indiana (-8),69,Nev Las Vegas (+8),72,Final Preview Lines Recap Box (O/U 156.5)
NCAAB,765,Wake Forest (+5.5),80,Ucla (-5.5),77,Final Lines Recap Box (O/U 158)
NCAAB,767,Vanderbilt (+2.5),63,Kansas (-2.5),70,Final Preview Lines Recap Box (O/U 156.5)
NCAAB,769,Idaho (PK),58,Samford (PK),75,Final Lines Recap Box
NCAAB,771,Troy St (+4.5),86,North Texas (-4.5),74,Final Lines Recap Box
NCAAB,773,Tcu (+2.5),71,Illinois St (-2.5),60,Final Lines Recap Box (O/U 139.5)
NCAAB,775,Rhode Island (+6.5),63,Maryland (-6.5),86,Final Preview Lines Recap Box (O/U 134)
NCAAB,777,Massachusetts (+4),76,Creighton (-4),97,Final Lines Recap Box (O/U 160.5)
NCAAB,781,San Jose St (+14.5),74,Toledo (-14.5),89,Final Lines Recap Box (O/U 148)
NCAAB,785,Idaho St (+12.5),69,Denver (-12.5),79,Final Lines Recap Box
NCAAB,787,George Mason (-3.5),67,Manhattan (+3.5),69,Final Lines Recap Box
NCAAB,790,The Citadel (+9),95,Geo Southern (-9),90,Final Lines Recap Box
NCAAB,791,Montana (+6.5),53,North Dakota St (-6.5),73,Final Lines Recap Box
NCAAB,793,Nebraska-Omaha (-5),105,Northern Colorado (+5),85,Final Lines Recap Box
NCAAB,795,Portland St (+10),73,Nevada (-10),76,Final Lines Recap Box
NCAAB,797,Vermont (+14),62,Florida (-14),86,Final Lines Recap Box (O/U 145)
NCAAB,799,High Point (+8.5),46,Georgia (-8.5),49,Final Lines Recap Box (O/U 140)
NCAAB,801,Prairie View (+29),67,Wisconsin (-29),85,Final Lines Recap Box (O/U 140.5)
NCAAB,998,Allen,74,So Carolina St,86,Final Lines Recap Box
NCAAB,998,American,44,Va Commonwealth,72,Final Lines Recap Box
NCAAB,998,Bryant,45,Harvard,80,Final Lines Recap Box
NCAAB,998,Central Arkansas,54,Howard,73,Final Lines Recap Box
NCAAB,998,Cs-Bakersfield,64,Wyoming,68,Final Lines Recap Box
NCAAB,998,Dillard,79,Mcneese St,80,Final Lines Recap Box
NCAAB,998,Dubuque,63,Northern Iowa,83,Final Lines Recap Box
NCAAB,998,Gallaudet University,45,Towson St,88,Final Lines Recap Box
NCAAB,998,Grambling,40,Texas Arlington,73,Final Lines Recap Box
NCAAB,998,Great Falls,48,Seattle,58,Final Lines Recap Box
NCAAB,998,Hampton,67,William & Mary,86,Final Lines Recap Box
NCAAB,998,Harris Stowe,57,Tenn Martin,83,Final Lines Recap Box
NCAAB,998,Indiana-Kokomo,54,Ball St,90,Final Lines Recap Box
NCAAB,998,Indiana-Northwest,55,Northern Illinois,87,Final Lines Recap Box
NCAAB,998,Lafayette,52,Princeton,104,Final Lines Recap Box
NCAAB,998,Lamar,84,Rice,92,Final Lines Recap Box
NCAAB,998,Lehigh,54,Virginia,80,Final Preview Lines Recap Box
NCAAB,998,Lincoln (mo),72,Mo Kansas City,73,Final Lines Recap Box
NCAAB,998,Long Island,72,Florida Intl,80,Final Lines Recap Box
NCAAB,998,Longwood,82,Maine,92,Final Lines Recap Box
NCAAB,998,Louisiana Coll,80,Northwestern St,86,Final Lines Recap Box
NCAAB,998,Loyola No,62,La Lafayette,106,Final Lines Recap Box
NCAAB,998,Marygrove College,64,East Michigan,108,Final Lines Recap Box
NCAAB,998,Miss Valley St,68,Byu,75,Final Lines Recap Box
NCAAB,998,Navy,75,Umbc,54,Final Lines Recap Box
NCAAB,998,New Orleans,64,Bradley,51,Final Lines Recap Box
NCAAB,998,Nicholls St,63,New Mexico,75,Final Lines Recap Box
NCAAB,998,Oakland City,55,Austin Peay,83,Final Lines Recap Box
NCAAB,998,Sacred Heart,60,Holy Cross,69,Final Lines Recap Box
