Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAF,325,Illinois (-3),48,Purdue (+3),14,Final Preview Lines Recap Box (O/U 52)
NCAAF,327,Duke (+7),31,North Carolina (-7),66,Final Preview Lines Recap Box (O/U 61.5)
NCAAF,329,Fla Atlantic (+24.5),19,Western Kentucky (-24.5),35,Final Lines Recap Box (O/U 66)
NCAAF,331,Texas Tech (+7.5),26,West Virginia (-7.5),31,Final Preview Lines Recap Box (O/U 80)
NCAAF,333,Kentucky (+17),3,Georgia (-17),27,Final Preview Lines Recap Box (O/U 57.5)
NCAAF,335,La Lafayette (-1.5),23,Georgia State (+1.5),21,Final Lines Recap Box (O/U 60)
NCAAF,337,Iowa (-5.5),35,Indiana (+5.5),27,Final Preview Lines Recap Box (O/U 59)
NCAAF,339,South Florida (+5),22,East Carolina (-5),17,Final Lines Recap Box (O/U 56)
NCAAF,341,Vanderbilt (+20.5),7,Florida (-20.5),9,Final Preview Lines Recap Box (O/U 37.5)
NCAAF,343,Charlotte (+17),31,Florida Intl (-17),48,Final Lines Recap Box (O/U 52.5)
NCAAF,345,Syracuse (+17),17,Louisville (-17),41,Final Preview Lines Recap Box (O/U 50)
NCAAF,347,Cincinnati (+7.5),30,Houston (-7.5),33,Final Preview Lines Recap Box (O/U 69)
NCAAF,349,Akron (+2),17,Massachusetts (-2),13,Final Lines Recap Box (O/U 53.5)
NCAAF,351,E Michigan (+4.5),13,Miami-Ohio (-4.5),28,Final Lines Recap Box (O/U 62.5)
NCAAF,353,Rutgers (+24),16,Michigan (-24),49,Final Preview Lines Recap Box (O/U 49)
NCAAF,355,Army (+16.5),3,Air Force (-16.5),20,Final Lines Recap Box (O/U 48.5)
NCAAF,357,No Carolina St (-4),24,Boston College (+4),8,Final Preview Lines Recap Box (O/U 38)
NCAAF,359,Penn St (-2),21,Northwestern (+2),23,Final Preview Lines Recap Box (O/U 41)
NCAAF,361,New Mexico St (+17),31,Texas State (-17),21,Final Lines Recap Box (O/U 69.5)
NCAAF,363,Connecticut (-4.5),7,Tulane (+4.5),3,Final Lines Recap Box (O/U 45)
NCAAF,365,Kansas (+28.5),20,Texas (-28.5),59,Final Preview Lines Recap Box (O/U 52)
NCAAF,367,Colorado St (-9),26,Wyoming (+9),7,Final Lines Recap Box (O/U 55.5)
NCAAF,369,Stanford (-16.5),42,Colorado (+16.5),10,Final Preview Lines Recap Box (O/U 56)
NCAAF,371,Central Florida (+17),30,Tulsa (-17),45,Final Lines Recap Box (O/U 60.5)
NCAAF,373,Utah St (-20.5),13,New Mexico (+20.5),14,Final Lines Recap Box (O/U 58)
NCAAF,375,Utah (+2.5),34,Washington (-2.5),23,Final Preview Lines Recap Box (O/U 43)
NCAAF,377,Arizona (+19),30,Usc (-19),38,Final Preview Lines Recap Box (O/U 69.5)
NCAAF,379,South Carolina (+17),24,Tennessee (-17),27,Final Lines Recap Box (O/U 58)
NCAAF,381,Iowa St (+26),16,Oklahoma (-26),52,Final Preview Lines Recap Box (O/U 57)
NCAAF,383,Tcu (-5),29,Oklahoma St (+5),49,Final Preview Lines Recap Box (O/U 76)
NCAAF,385,Ucla (-16.5),41,Oregon St (+16.5),0,Final Preview Lines Recap Box (O/U 60)
NCAAF,387,Florida St (+10),13,Clemson (-10),23,Final Preview Lines Recap Box (O/U 55)
NCAAF,389,Navy (+10),45,Memphis (-10),20,Final Preview Lines Recap Box (O/U 63)
NCAAF,391,Wisconsin (-9.5),31,Maryland (+9.5),24,Final Preview Lines Recap Box (O/U 49)
NCAAF,393,North Texas (+28.5),13,La Tech (-28.5),56,Final Lines Recap Box (O/U 62)
NCAAF,395,Lsu (+7.5),16,Alabama (-7.5),30,Final Preview Lines Recap Box (O/U 46.5)
NCAAF,397,La Monroe (+9),14,Troy (-9),51,Final Lines Recap Box (O/U 52.5)
NCAAF,399,Hawaii (+9.5),21,Nev Las Vegas (-9.5),41,Final Lines Recap Box (O/U 53.5)
NCAAF,401,California (+3.5),28,Oregon (-3.5),44,Final Preview Lines Recap Box (O/U 76)
NCAAF,403,Old Dominion (+7.5),36,Texas San Antonio (-7.5),31,Final Lines Recap Box (O/U 52.5)
