Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAF,319,Louisville (-1),34,Pittsburgh (+1),45,Final Preview Lines Recap Box (O/U 48.5)
NCAAF,321,Buffalo (+5),21,Akron (-5),42,Final Lines Recap Box (O/U 45)
NCAAF,323,Geo Southern (+13.5),17,Georgia (-13.5),23,Final OT Preview Lines Recap Box (O/U 51)
NCAAF,325,Rutgers (-4),31,Army (+4),21,Final Preview Lines Recap Box (O/U 55.5)
NCAAF,327,Charlotte (+23.5),10,Kentucky (-23.5),58,Final Preview Lines Recap Box (O/U 56)
NCAAF,329,Indiana (+1),47,Maryland (-1),28,Final Preview Lines Recap Box (O/U 64.5)
NCAAF,331,Miami-Ohio (+7.5),20,Massachusetts (-7.5),13,Final Lines Recap Box (O/U 56)
NCAAF,333,West Virginia (-29),49,Kansas (+29),0,Final Preview Lines Recap Box (O/U 56)
NCAAF,335,South Alabama (+3),10,Georgia State (-3),24,Final Lines Recap Box (O/U 61)
NCAAF,337,Houston (-7),17,Connecticut (+7),20,Final Preview Lines Recap Box (O/U 49)
NCAAF,339,Wake Forest (+28.5),13,Clemson (-28.5),33,Final Preview Lines Recap Box (O/U 48)
NCAAF,341,Western Kentucky (-19),63,Florida Intl (+19),7,Final Lines Recap Box (O/U 65.5)
NCAAF,343,Lsu (+7),17,Mississippi (-7),38,Final Preview Lines Recap Box (O/U 56)
NCAAF,345,North Texas (+23.5),7,Middle Tenn St (-23.5),41,Final Lines Recap Box (O/U 63)
NCAAF,347,Illinois (+4.5),23,Minnesota (-4.5),32,Final Preview Lines Recap Box (O/U 47)
NCAAF,349,Memphis (-4),12,Temple (+4),31,Final Preview Lines Recap Box (O/U 56.5)
NCAAF,351,Duke (-2.5),34,Virginia (+2.5),42,Final Preview Lines Recap Box (O/U 53)
NCAAF,353,North Carolina (-3),30,Virginia Tech (+3),27,Final OT Preview Lines Recap Box (O/U 60.5)
NCAAF,355,Northwestern (+11.5),13,Wisconsin (-11.5),7,Final Preview Lines Recap Box (O/U 42)
