Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NCAAB,525,South Carolina (-1.5),65,Clemson (+1.5),59,Final Lines Recap Box
NCAAB,527,Mississippi (+3),85,Memphis (-3),79,Final Lines Recap Box (O/U 150)
NCAAB,529,Central Mich (+13),85,Byu (-13),98,Final Lines Recap Box
NCAAB,531,Texas State (+9),73,Washington St (-9),78,Final OT Lines Recap Box
NCAAB,533,Long Beach St (+14),73,Oregon (-14),94,Final Lines Recap Box (O/U 149.5)
NCAAB,535,La Lafayette (PK),59,Pepperdine (PK),79,Final Lines Recap Box
NCAAB,537,Santa Clara (+8.5),69,Nevada (-8.5),72,Final Lines Recap Box
NCAAB,539,Weber St (-3),92,Portland (+3),82,Final OT Lines Recap Box
NCAAB,541,Fullerton (+10.5),69,Oregon St (-10.5),82,Final Lines Recap Box (O/U 138.5)
NCAAB,543,Arkansas St (+2.5),70,Tenn Martin (-2.5),74,Final Lines Recap Box
NCAAB,545,Miami-Ohio (PK),64,Tennessee Tech (PK),77,Final Lines Recap Box
NCAAB,547,Eastern Ky (+5),81,E Tennessee St (-5),87,Final Lines Recap Box
NCAAB,549,Southern Ill (+2.5),88,Murray St (-2.5),73,Final Lines Recap Box
NCAAB,551,South Alabama (+5),72,Samford (-5),70,Final OT Lines Recap Box
NCAAB,553,Jacksonville St (+11.5),60,Loyola Marymnt (-11.5),77,Final Lines Recap Box
NCAAB,555,Incarnate Word (+8.5),73,St Johns (-8.5),51,Final Lines Recap Box (O/U 142.5)
NCAAB,998,Cal Riverside,60,Abliene Christian,56,Final Lines Recap Box
NCAAB,998,Chapman,51,Cal Irvine,65,Final Lines Recap Box
NCAAB,998,Cntrl Baptist,76,La Monroe,101,Final Lines Recap Box
NCAAB,998,Coast Carolina,77,Wake Forest,83,Final Lines Recap Box
NCAAB,998,Coppin St,93,San Francisco,96,Final OT Lines Recap Box
NCAAB,998,Grand Canyon,52,San Diego St,45,Final Lines Recap Box
NCAAB,998,Jarvis Christ,56,Lamar,80,Final Lines Recap Box
NCAAB,998,Kennesaw State,66,Tennessee Chat,78,Final Lines Recap Box
NCAAB,998,Mary Washington,64,William & Mary,94,Final Lines Recap Box
NCAAB,998,Massachusetts Lowell,79,Central Conn,83,Final Lines Recap Box
NCAAB,998,Md Eastrn Shore,47,Old Dominion,77,Final Lines Recap Box
NCAAB,998,New Hope Christian College,54,Idaho,127,Final Lines Recap Box
NCAAB,998,Nicholls St,68,Colorado,85,Final Lines Recap Box
NCAAB,998,Sam Houston,75,Long Island,69,Final Lines Recap Box
NCAAB,998,Southern,76,Louisiana Tech,83,Final Lines Recap Box
NCAAB,998,Towson St,68,Fair Dickinson,69,Final Lines Recap Box
NCAAB,998,Wagner,76,Fairfield,64,Final Lines Recap Box
NCAAB,998,Warren Wilson,62,Gardner Webb,107,Final Lines Recap Box
