Sport,Rotation,Away,AwayScore,Home,HomeScore,Status
NFL,451,Oakland (+6),35,Pittsburgh (-6),38,Final Preview Lines Recap Box (O/U 48)
NFL,453,Jacksonville (+7.5),23,Ny Jets (-7.5),28,Final Preview Lines Recap Box (O/U 42)
NFL,455,St Louis (+1.5),18,Minnesota (-1.5),21,Final OT Preview Lines Recap Box (O/U 40.5)
NFL,457,Miami (+4),17,Buffalo (-4),33,Final Preview Lines Recap Box (O/U 44)
NFL,459,Tennessee (+6.5),34,New Orleans (-6.5),28,Final OT Preview Lines Recap Box (O/U 50)
NFL,461,Washington (+14),10,New England (-14),27,Final Preview Lines Recap Box (O/U 52)
NFL,463,Green Bay (-2),29,Carolina (+2),37,Final Preview Lines Recap Box (O/U 46)
NFL,465,Atlanta (-7),16,San Francisco (+7),17,Final Preview Lines Recap Box (O/U 43.5)
NFL,467,Ny Giants (-2),32,Tampa Bay (+2),18,Final Preview Lines Recap Box (O/U 49)
NFL,469,Denver (-3.5),24,Indianapolis (+3.5),27,Final Preview Lines Recap Box (O/U 44.5)
NFL,471,Philadelphia (-3),33,Dallas (+3),27,Final OT Preview Lines Recap Box (O/U 43.5)
