Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian Wildcats,1971,2016,6,139,61,78,.439,-14.04,-6.72,0,0,0,0,0,0
2,Air Force Falcons,1958,2016,58,1546,679,867,.439,-2.87,0.91,0,1,0,4,0,0
3,Akron Zips,1902,2016,65,1429,837,592,.586,-0.27,-1.41,0,6,4,4,0,0
4,Alabama A&M Bulldogs,2000,2016,17,461,205,256,.445,-14.99,-11.79,0,1,1,1,0,0
5,Alabama Crimson Tide,1913,2016,103,2591,1604,986,.619,6.85,4.15,15,10,7,20,0,0
6,Alabama State Hornets,1983,2016,34,975,491,484,.504,-11.91,-9.61,0,4,4,4,0,0
7,Alabama-Birmingham Blazers,1980,2016,37,1157,720,437,.622,7.20,3.32,2,6,5,15,0,0
8,Albany (NY) Great Danes,2000,2016,17,497,234,263,.471,-6.47,-4.94,0,2,4,5,0,0
9,Alcorn State Braves,1978,2016,39,1121,483,638,.431,-13.13,-8.00,0,10,6,6,0,0
10,Allegheny Gators,1896,1916,21,234,191,41,.823,,,0,0,0,,,
11,American Eagles,1967,2016,50,1384,698,686,.504,-5.30,-3.41,0,7,3,3,0,0
12,Amherst Lord Jeffs,1901,1902,2,12,12,0,1.000,,,0,0,0,,,
13,Appalachian State Mountaineers,1974,2016,43,1229,614,615,.500,-6.31,-3.78,0,10,2,2,0,0
14,Arizona State Sun Devils,1912,2016,101,2411,1277,1134,.530,4.61,3.47,7,8,0,14,0,0
15,Arizona Wildcats,1905,2016,109,2587,1689,897,.653,8.45,4.68,24,22,5,32,4,1
16,Arkansas Razorbacks,1924,2016,93,2509,1607,902,.640,7.12,2.63,16,26,7,30,6,1
17,Arkansas State Red Wolves,1971,2016,46,1293,670,623,.518,-3.24,-2.80,0,7,1,1,0,0
18,Arkansas-Little Rock Trojans,1979,2016,38,1102,616,486,.559,-3.30,-3.70,0,11,4,4,0,0
19,Arkansas-Pine Bluff Golden Lions,1999,2016,18,508,154,354,.303,-19.31,-7.73,0,0,1,1,0,0
20,Armstrong Pirates,1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
21,Army Black Knights,1903,2016,114,2362,1180,1182,.500,-9.13,-4.61,0,0,0,0,0,0
22,Auburn Tigers,1906,2016,110,2434,1281,1152,.527,5.14,3.86,5,3,1,8,0,0
23,Augusta State Jaguars,1985,1991,7,197,64,133,.325,-17.30,-8.00,0,0,0,0,0,0
24,Augustana (IL) Vikings,1902,1917,12,116,81,35,.698,,,0,0,0,,,
25,Austin Peay Governors,1964,2016,53,1477,733,744,.496,-5.59,-3.01,1,8,4,6,0,0
26,Baker University Wildcats,1903,1908,6,90,62,28,.689,,,0,0,0,,,
27,Baldwin-Wallace Yellow Jackets,1948,1953,6,139,82,57,.590,-4.45,1.85,0,0,0,0,0,0
28,Ball State Cardinals,1972,2016,45,1281,674,607,.526,-1.17,-0.77,1,9,7,7,0,0
29,Baltimore Super Bees,1979,1983,5,133,46,87,.346,-13.76,-6.45,0,0,0,0,0,0
30,Baylor Bears,1907,2016,110,2590,1265,1325,.488,0.78,2.04,4,5,0,9,2,0
31,Belmont Bruins,2000,2016,17,510,323,187,.633,-0.16,-3.57,0,8,7,7,0,0
32,Beloit Buccaneers,1911,1924,8,95,66,28,.702,,,0,0,0,,,
33,Bethune-Cookman Wildcats,1981,2016,36,1030,363,667,.352,-17.01,-10.25,0,1,0,0,0,0
34,Binghamton Bearcats,2002,2016,15,422,154,268,.365,-10.76,-5.09,0,1,1,1,0,0
35,Birmingham-Southern Panthers,1920,2006,5,105,65,40,.619,-5.44,-8.71,0,1,0,0,0,0
36,Bloomsburg Huskies,1896,1911,15,143,88,55,.615,,,0,0,0,,,
37,Boise State Broncos,1972,2016,45,1287,708,579,.550,-0.56,-1.04,0,6,5,7,0,0
38,Boston College Eagles,1946,2016,71,1954,1096,858,.561,3.18,2.51,8,6,2,18,0,0
39,Boston University Terriers,1916,2016,90,2004,1026,978,.512,-6.66,-5.20,0,8,6,7,0,0
40,Bowling Green State Falcons,1916,2016,101,2442,1321,1121,.541,0.03,0.58,2,9,0,4,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
41,Bradley Braves,1903,2016,112,2742,1612,1130,.588,4.91,3.12,12,7,2,8,2,0
42,Brigham Young College,1908,1908,1,11,10,1,.909,,,0,0,0,,,
43,Brigham Young Cougars,1903,2016,114,2789,1740,1049,.624,7.41,3.37,10,25,3,29,0,0
44,Brooklyn Bulldogs,1934,1992,25,567,233,334,.411,-19.21,-9.62,0,0,0,0,0,0
45,Brown Bears,1901,2016,110,2460,994,1466,.404,-11.18,-4.68,0,1,0,2,0,0
46,Bryant Bulldogs,2011,2016,6,157,66,91,.420,-9.75,-4.08,0,0,0,0,0,0
47,Bucknell Bison,1896,2016,121,2547,1362,1185,.535,-9.01,-7.21,0,13,6,6,0,0
48,Buffalo Bulls,1907,2016,47,1069,518,551,.485,-7.01,-2.49,0,3,1,1,0,0
49,Butler Bulldogs,1897,2016,118,2610,1516,1094,.581,1.14,2.38,6,13,7,13,2,0
50,Cal Poly Mustangs,1995,2016,22,617,261,356,.423,-5.38,-1.15,0,1,1,1,0,0
51,Cal State Bakersfield Roadrunners,2011,2016,6,157,69,88,.439,0.67,-0.13,0,0,0,0,0,0
52,Cal State Fullerton Titans,1975,2016,42,1187,562,625,.473,-1.72,-0.22,0,2,2,2,0,0
53,Cal State Los Angeles Golden Eagles,1971,1975,5,130,70,60,.538,-1.89,1.34,0,0,0,1,0,0
54,Cal State Northridge Matadors,1991,2016,26,745,331,414,.444,-4.28,-1.25,0,3,2,2,0,0
55,Campbell Fighting Camels,1978,2016,39,1081,435,646,.402,-12.76,-6.82,0,1,1,1,0,0
56,Canisius Golden Griffins,1904,2016,112,2444,1240,1204,.507,-3.57,-1.46,1,7,1,4,0,0
57,Carleton College Knights,1910,1934,25,360,280,80,.778,,,0,0,0,,,
58,Carnegie Mellon Tartans,1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
59,Case Western Reserve Spartans,1898,1955,13,245,95,150,.388,-18.30,-2.67,0,0,0,0,0,0
60,Catholic Cardinals,1913,1981,13,248,122,126,.492,-15.98,-6.69,0,0,0,1,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
61,Centenary (LA) Gents,1960,2011,52,1435,637,798,.444,-8.73,-3.96,1,1,1,0,0,0
62,Central Arkansas Bears,2011,2016,6,148,36,112,.243,-16.71,-3.28,0,0,0,0,0,0
63,Central Connecticut State Blue Devils,1987,2016,30,843,356,487,.422,-12.09,-7.45,0,3,3,3,0,0
64,Central Florida Knights,1985,2016,32,920,448,472,.487,-5.02,-2.94,0,1,4,4,0,0
65,Central Michigan Chippewas,1974,2016,43,1191,513,678,.431,-4.01,-0.38,0,7,2,4,0,0
66,Central Missouri Mules,1913,1937,10,178,140,38,.787,,,0,0,0,,,
67,Central Normal College,1931,1931,1,19,19,0,1.000,,,0,0,0,,,
68,Central Pennsylvania College Knights,1896,1900,4,6,2,4,.333,,,0,0,0,,,
69,Centre (KY) Colonels,1910,1919,3,45,41,4,.911,,,0,0,0,,,
70,Charleston Southern Buccaneers,1975,2016,42,1169,483,686,.413,-13.83,-7.14,0,4,4,1,0,0
71,Charlotte 49ers,1973,2016,44,1281,727,554,.568,4.05,2.18,2,6,5,11,1,0
72,Chattanooga Mocs,1978,2016,39,1163,707,456,.608,-2.16,-3.50,1,18,10,10,0,0
73,Cheyenne Business College,1903,1903,1,1,1,0,1.000,,,0,0,0,,,
74,Chicago Maroons,1896,1946,46,862,419,443,.486,,,0,6,0,0,0,0
75,Chicago State Cougars,1985,2016,32,898,255,643,.284,-14.56,-1.75,0,0,1,0,0,0
76,Cincinnati Bearcats,1902,2016,115,2680,1698,982,.634,11.92,5.09,22,23,10,29,6,2
77,Citadel Bulldogs,1913,2016,104,2238,954,1284,.426,-13.59,-5.80,0,0,0,0,0,0
78,City College of New York Beavers,1906,1953,48,725,517,208,.713,-0.07,2.71,0,1,0,2,2,1
79,Clemson Tigers,1912,2016,105,2506,1255,1249,.501,4.72,3.38,5,1,1,11,0,0
80,Cleveland State Vikings,1973,2016,44,1252,643,609,.514,-2.68,-1.18,0,4,2,2,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
81,Coastal Carolina Chanticleers,1987,2016,30,856,433,423,.506,-8.54,-5.95,0,7,5,4,0,0
82,Colgate Raiders,1901,2016,116,2556,1216,1340,.476,-11.30,-5.59,0,3,2,2,0,0
83,College of Charleston Cougars,1992,2016,25,746,519,227,.696,1.30,-4.75,2,12,3,4,0,0
84,College of New Jersey Lions,1900,1900,1,5,3,2,.600,,,0,0,0,,,
85,Colorado Buffaloes,1902,2016,113,2396,1238,1158,.517,4.87,5.94,5,19,1,13,2,0
86,Colorado College Tigers,1915,1937,23,376,233,143,.620,,,0,7,0,,,
87,Colorado School of Mines Orediggers,1908,1937,28,282,80,202,.284,,,0,2,0,,,
88,Colorado State Rams,1902,2016,112,2406,1203,1203,.500,2.69,2.21,0,6,1,10,0,0
89,Columbia Lions,1901,2016,116,2504,1249,1255,.499,-7.64,-5.02,2,13,0,3,0,0
90,Concordia Seminary Preachers,1907,1923,2,16,14,2,.875,,,0,0,0,,,
91,Connecticut Huskies,1901,2016,110,2481,1587,894,.640,6.38,0.34,16,27,7,31,5,4
92,Coppin State Eagles,1986,2016,31,907,448,459,.494,-9.95,-7.77,0,10,4,4,0,0
93,Cornell Big Red,1899,2016,118,2590,1219,1371,.471,-7.61,-4.51,0,8,0,5,0,0
